County,hotel_locations,towns_in_county,Percent_trees,Percent_shrub,Percent_urban,rivers_in_county,roads_in_county,Area (km2),Population (2019 Census),avg_household_size,avg_household_per_dwelling,pct_own_dwelling,avg_rooms_occupied,percent_grid_connect,percent_any_elect,percent_bank_account,percent_mobile_money,total_percent_batteries,total_percent_solar,total_percent_generator,grid_generator_pct,grid_battery_pct,grid_solar_pct,avg_electricity_use_grid,avg_typical_hours_elect_grid,avg_worst_hours_elect_grid,not_grid_generator_pct,not_grid_battery_pct,not_grid_solar_pct,avg_distance_to_connect,GDP percapita in US dollar (PPP)
nairobi,1.0,1.0,0.2680035269199703,0.2523967926793252,0.2437051805157341,7.0,8.0,694.9,4397073.0,3.277666844105598,4.133461661284644,0.1514071154428484,2.550038543194073,0.976455089456874,0.976455089456874,0.7306397642482825,0.8919489992307212,0.0112415147014065,0.0955548719274978,0.0242346198858413,0.024818980562968,0.0115125773041536,0.0978589522029606,60.91289930339579,7.521719797655527,8.242618010124877,0.0,0.0,0.0,128.05072857142858,6321.932794838748
nakuru,8.0,4.0,0.0389932459890941,0.0561620779331155,0.0030394090081801,36.0,24.0,7509.5,2162202.0,4.090852687027198,1.4345761073927958,0.7785882237291251,2.946161529058163,0.4885322881548822,0.4885322881548822,0.4444222902859774,0.829838588766572,0.0,0.0,0.0038510734987775,0.0078829456970438,0.0,0.0,37.30428888248925,4.71563970229988,7.19034942142609,0.0,0.0,0.0,41.26333623188406,4778.92444831704
kiambu,1.0,1.0,0.1200343388822249,0.1159891070037715,0.0186613967584802,23.0,12.0,2449.2,2417735.0,3.271329505998277,3.019256500343265,0.553244257414634,2.512047773295132,0.772467304050728,0.8579319195042348,0.6970121565506459,0.9190230637443813,0.0111334446078144,0.1568364210964327,0.023472831040279,0.0249751603784833,0.0063588289780623,0.0923945975042058,76.5715411185936,4.510192345652436,4.778391670191014,0.0183724638651909,0.0273431345954694,0.3756146565966979,116.37484193548389,3484.6664336662207
mombasa,0.0,1.0,0.1127101913936548,0.026203575035479,0.1130009574843169,4.0,3.0,212.5,1208333.0,3.59786366213271,4.465478246862341,0.4322614057024872,3.095793834789548,0.9146905630878406,0.9146905630878406,0.7932892799449887,0.9405929637230424,0.0,0.0,0.0,0.0,0.0,0.0,62.92865912159162,3.990792129118224,4.278125976454139,0.0,0.0,0.0,127.55,5488.553238221583
nyandarua,1.0,0.0,0.1213433373242766,0.0385164227801577,0.000754910330158,19.0,4.0,3107.7,638289.0,3.693020151997683,1.1128819510996626,1.0,2.4067183246978883,0.0180930497069062,0.6406729576889051,0.6708301527401386,0.9435590244501688,0.2068118901210727,0.5605363409456771,0.0,0.0,0.0,0.0,56.325,11.5,12.0,0.0,0.2106226970481678,0.5708650303151027,72.98,7670.506620042019
machakos,0.0,1.0,0.0131945724554621,0.0573919719756848,0.0038300272908171,37.0,18.0,5952.9,1421932.0,2.969220628427286,1.5680874713227786,0.6602379176994225,3.2096529962258926,0.4946514713756891,0.7615347600407854,0.5598601749795348,0.9734072410614492,0.0021291224008003,0.2712354868352026,0.0314635546284274,0.0205162808586736,0.0,0.0561940442795589,53.06173833723172,8.730829756199652,8.317618106574137,0.0421790999818541,0.0042131762144363,0.4817250003922481,17.603867924528302,3270.19857489669
meru,6.0,1.0,0.1067034848319421,0.0997439743027915,0.0010430456570222,67.0,11.0,7003.1,1545714.0,4.15994265372245,1.8015964455056848,0.9053097722937312,3.255422970233481,0.1921555558338879,0.6418524509273934,0.6183034031264759,0.7728132447039505,0.1727491846321365,0.3440446419100728,0.0072534486785924,0.0,0.0,0.0297932002651592,43.71509027657258,10.336842094179824,11.592561701813954,0.0089787690327928,0.2138396641576893,0.4187931419176589,10.608682978723404,2966.2667220456046
kisumu,2.0,1.0,0.001077515462748,0.0032862811877987,0.0267503831817058,21.0,17.0,2009.5,1155574.0,4.346498034223817,1.7555463683220798,0.759503695291803,2.489644236222323,0.3305325324868552,0.6737502775934151,0.4077260430678084,0.867439524963983,0.0317781026753923,0.365813818740319,0.0134596290630987,0.0,0.0,0.1632663748005247,69.7366926064874,11.673977795115311,16.342453954231143,0.0201049785333063,0.0474677325149759,0.465816466879222,79.40814035087719,3360.23482702103
bungoma,1.0,1.0,0.1201277772393039,0.0716275598812858,0.0016349362618316,32.0,10.0,2206.9,1670570.0,5.221468611802289,2.0147237290565525,0.9277694791924987,2.8651976986205567,0.1272687766559398,0.4304205993226951,0.3574949255735226,0.8649574388741951,0.0519557426007328,0.3024355270444642,0.0,0.0,0.0,0.1929046155531232,41.48343118075761,13.806564943569809,13.865024460130124,0.0,0.059532352242026,0.3184082168470581,14.242898550724638,2193.2633771706664
kakamega,1.0,1.0,0.0573026535191904,0.0,0.0010350938252572,40.0,13.0,3033.8,1867579.0,4.326579560814007,1.572235792036961,0.8978315180451454,2.826134904470553,0.1571336088554854,0.4666642925104937,0.27020387140415,0.7969544670393869,0.0725784150682418,0.3183176597014604,0.0,0.0,0.0091777316716907,0.2650651246162322,50.243125032483135,13.31237438733365,14.517567678362449,0.0,0.0843980561058639,0.3282454051977339,92.81310344827584,1951.724665998065
