county,indicator,Unit,Date,Value
Mombasa,"Population, Total",Persons,2019,1208333
Mombasa,"Population, Male",Persons,2019,610257
Mombasa,"Population, Female",Persons,2019,598046
Mombasa,"Population, Intersex",Persons,2019,30
Mombasa,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.0418162
Mombasa,Land Area (Sq. Km),sq. km,2019,219.9
Mombasa,Population Density (No. per Sq. Km),No. per Sq. Km,2019,5495
Mombasa,Population (Excludes the special population),Persons,2019,1190987
Mombasa,Number of Households,Number,2019,378422
Mombasa,Average Household size,,2019,3
Kwale,"Population, Total",Persons,2019,866820
Kwale,"Population, Male",Persons,2019,425121
Kwale,"Population, Female",Persons,2019,441681
Kwale,"Population, Intersex",Persons,2019,18
Kwale,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.25068771
Kwale,Land Area (Sq. Km),sq. km,2019,8267.1
Kwale,Population Density (No. per Sq. Km),No. per Sq. Km,2019,105
Kwale,Population (Excludes the special population),Persons,2019,858748
Kwale,Number of Households,Number,2019,173176
Kwale,Average Household size,,2019,5
Kilifi,"Population, Total",Persons,2019,1453787
Kilifi,"Population, Male",Persons,2019,704089
Kilifi,"Population, Female",Persons,2019,749673
Kilifi,"Population, Intersex",Persons,2019,25
Kilifi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,93.91948223
Kilifi,Land Area (Sq. Km),sq. km,2019,12539.7
Kilifi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,116
Kilifi,Population (Excludes the special population),Persons,2019,1440958
Kilifi,Number of Households,Number,2019,298472
Kilifi,Average Household size,,2019,5
Tana River (reg),"Population, Total",Persons,2019,315943
Tana River (reg),"Population, Male",Persons,2019,158550
Tana River (reg),"Population, Female",Persons,2019,157391
Tana River (reg),"Population, Intersex",Persons,2019,2
Tana River (reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.7363826
Tana River (reg),Land Area (Sq. Km),sq. km,2019,37950.5
Tana River (reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,8
Tana River (reg),Population (Excludes the special population),Persons,2019,314710
Tana River (reg),Number of Households,Number,2019,68242
Tana River (reg),Average Household size,,2019,5
Lamu,"Population, Total",Persons,2019,143920
Lamu,"Population, Male",Persons,2019,76103
Lamu,"Population, Female",Persons,2019,67813
Lamu,"Population, Intersex",Persons,2019,4
Lamu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,112.2247947
Lamu,Land Area (Sq. Km),sq. km,2019,6253.3
Lamu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,23
