,District,ADM1_EN
0,BARINGO,BARINGO
1,BOMET,BOMET
2,BONDO,SIAYA
3,BUNGOMA,BUNGOMA
4,BURET,BOMET
5,BUSIA,BUSIA
6,BUTERE/MUMIAS,KAKAMEGA
7,CENTRAL KISII,KISII
8,EMBU,EMBU
9,GARISSA,GARISSA
10,GUCHA,KISII
11,HOMA BAY,HOMA BAY
12,ISIOLO,ISIOLO
13,KAJIADO,KAJIADO
14,KAKAMEGA,KAKAMEGA
15,KEIYO,ELGEYO-MARAKWET
16,KERICHO,KERICHO
17,KIAMBU,KIAMBU
18,KILIFI,KILIFI
19,KIRINYAGA,KIRINYAGA
20,KISUMU,KISUMU
21,KITUI,KITUI
22,KOIBATEK,BARINGO
23,KURIA,MIGORI
24,KWALE,KWALE
25,LAIKIPIA,LAIKIPIA
26,LAMU,LAMU
27,LUGARI,KAKAMEGA
28,MACHAKOS,MACHAKOS
29,MAKUENI,MAKUENI
30,MALINDI,KILIFI
31,MANDERA,MANDERA
32,MARAGUA,MURANG'A
33,MARAKWET,ELGEYO-MARAKWET
34,MARSABIT,MARSABIT
35,MBEERE,EMBU
36,MERU CENTRAL,MERU
37,MERU NORTH,MERU
38,MERU SOUTH,THARAKA-NITHI
39,MIGORI,MIGORI
40,MOMBASA,MOMBASA
41,MOYALE,MARSABIT
42,MT ELGON,BUNGOMA
43,MURANGA,MURANG'A
44,MWINGI,KITUI
45,NAIROBI,NAIROBI
46,NAKURU,NAKURU
47,NANDI,NANDI
48,NAROK,NAROK
49,NYAMIRA,NYAMIRA
50,NYANDARUA,NYANDARUA
51,NYANDO,KISUMU
52,NYERI,NYERI
53,RACHUONYO,HOMA BAY
54,SAMBURU,SAMBURU
55,SIAYA,SIAYA
56,SUBA,HOMA BAY
57,TAITA TAVETA,TAITA TAVETA
58,TANA RIVER,TANA RIVER
59,TESO,BUSIA
60,THARAKA,THARAKA-NITHI
61,THIKA,KIAMBU
62,TRANS MARA,NAROK
63,TRANS NZOIA,TRANS NZOIA
64,TURKANA,TURKANA
65,UASIN GISHU,UASIN GISHU
66,VIHIGA,VIHIGA
67,WAJIR,WAJIR
68,WEST POKOT,WEST POKOT
