,ADM1_EN,ADM2_EN
0,Uasin Gishu,Ainabkoi
1,Kericho,Ainamoi
2,Nandi,Aldai
3,Siaya,Alego Usonga
4,Migori,Awendo
5,Nakuru,Bahati
6,Garissa,Balambala
7,Mandera,Banissa
8,Baringo,Baringo Central
9,Baringo,Baringo North
10,Baringo,Baringo South
11,Kericho,Belgut
12,Kisii,Bobasi
13,Kisii,Bomachoge Borabu
14,Kisii,Bomachoge Chache
15,Bomet,Bomet Central
16,Bomet,Bomet East
17,Kisii,Bonchari
18,Siaya,Bondo
19,Nyamira,Borabu
20,Busia,Budalangi
21,Bungoma,Bumula
22,Tana River,Bura
23,Kericho,Buret
24,Kakamega,Butere
25,Busia,Butula
26,Meru,Buuri
27,Meru,Cental Imenti
28,Mombasa,Changamwe
29,Bomet,Chepalungu
30,Trans Nzoia,Cherangany
31,Nandi,Chesumei
32,Garissa,Dadaab
33,Nairobi,Dagoretti
34,Garissa,Dujis
35,Baringo,Eldama Ravine
36,Wajir,Eldas
37,Nairobi,Embakasi Central
38,Nairobi,Embakasi East
39,Nairobi,Embakasi North
40,Nairobi,Embakasi South
41,Nairobi,Embakasi West
42,Nandi,Emgwen
43,Vihiga,Emuhaya
44,Narok,Emurua Dikirr
45,Trans Nzoia,Endebess
46,Garissa,Fafi
47,Busia,Funyula
48,Embu,Gachoka
49,Tana River,Galole
50,Kilifi,Ganze
51,Tana River,Garsen
52,Murang'a,Gatanga
53,Kiambu,Gatundu North
54,Kiambu,Gatundu South
55,Siaya,Gem
56,Kirinyaga,Gichugu
57,Nakuru,Gilgil
58,Kiambu,Githunguri
59,Vihiga,Hamisi
60,Homa Bay,Homa Bay
61,Meru,Igembe Central
62,Meru,Igembe North
63,Meru,Igembe South
64,Garissa,Ijara
65,Kakamega,Ikolomani
66,Isiolo,Isiolo North
67,Isiolo,Isiolo South
68,Mombasa,Jomvu
69,Kiambu,Juja
70,Kiambu,Kabete
71,Homa Bay,Kabondo Kasipul
72,Bungoma,Kabuchai
73,West Pokot,Kacheliba
74,Makueni,Kaiti
