,0,1
0,0.85 < percent_mobile_money <= 0.91,1002.609796521231
1,0.54 < percent_any_elect <= 0.71,417.74322333739843
2,Area (km2) > 0.08,-313.6697298102416
3,0.05 < avg_typical_hours_elect_grid <= 0.27,-276.08184668394006
4,avg_household_size > 0.41,-205.0687428943705
5,rivers_in_county > 0.13,-174.46502836262093
6,Percent_trees <= 0.15,-144.1044434808946
7,0.11 < Population (2019 Census) <= 0.17,-141.6693310139565
8,0.32 < towns_in_county <= 0.33,-133.68856428391751
9,0.39 < avg_rooms_occupied <= 0.51,-103.40928895127873
