,0,1
0,percent_mobile_money > 0.91,971.6896681211363
1,0.54 < percent_any_elect <= 0.71,458.49250326394093
2,0.05 < avg_typical_hours_elect_grid <= 0.27,-236.93371352780858
3,0.02 < Area (km2) <= 0.02,159.34633078699014
4,0.11 < Population (2019 Census) <= 0.17,-158.19968659339025
5,0.32 < towns_in_county <= 0.33,-140.75889075579641
6,percent_grid_connect <= 0.14,140.32345323977765
7,0.06 < rivers_in_county <= 0.13,-136.82369495676468
8,0.29 < avg_household_size <= 0.41,80.20565784714167
9,0.44 < roads_in_county <= 0.56,-60.34034054530968
