,0,1
0,0.85 < percent_mobile_money <= 0.91,987.9975577561563
1,avg_typical_hours_elect_grid <= 0.05,-396.9668541294867
2,0.32 < percent_any_elect <= 0.54,-183.9616904699668
3,Percent_trees <= 0.15,-176.30546779418543
4,0.32 < towns_in_county <= 0.33,-125.3777201503981
5,0.17 < Population (2019 Census) <= 0.23,-113.52072043783625
6,pct_own_dwelling > 0.93,-107.71265474057066
7,grid_solar_pct > 0.34,93.01137608908336
8,0.02 < Area (km2) <= 0.08,-92.27696741714445
9,not_grid_battery_pct > 0.16,89.13186596220541
