,0,1
0,0.72 < percent_mobile_money <= 0.85,-775.289448704831
1,0.27 < avg_typical_hours_elect_grid <= 0.52,-243.82670893105012
2,0.32 < percent_any_elect <= 0.54,-236.88989973012593
3,0.02 < Area (km2) <= 0.02,180.05449603992642
4,0.06 < rivers_in_county <= 0.13,-134.2599218859322
5,0.32 < towns_in_county <= 0.33,-122.50020277786015
6,0.29 < avg_household_size <= 0.41,85.43517918813596
7,grid_battery_pct <= 0.00,-79.437163792729
8,0.00 < Percent_urban <= 0.00,-77.83532862906601
9,0.14 < percent_grid_connect <= 0.20,-76.04474227644113
