,0,1
0,0.72 < percent_mobile_money <= 0.85,-739.7435340816547
1,0.32 < percent_any_elect <= 0.54,-213.7209145437683
2,0.02 < Area (km2) <= 0.02,167.5540717505499
3,0.06 < rivers_in_county <= 0.13,-127.16134940679294
4,0.27 < avg_typical_hours_elect_grid <= 0.52,-117.5766427505826
5,0.17 < Population (2019 Census) <= 0.23,-102.26208033934509
6,0.32 < towns_in_county <= 0.33,-93.9428839148942
7,0.21 < roads_in_county <= 0.44,-75.39796781238749
8,0.26 < avg_electricity_use_grid <= 0.39,75.04181112137174
9,0.00 < Percent_urban <= 0.00,69.9822496886129
